"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"1","ASV3","D_0__Bacteria","D_1__Fusobacteria","D_2__Fusobacteriia","D_3__Fusobacteriales","D_4__Fusobacteriaceae","D_5__Fusobacterium",2156,TRUE,TRUE,TRUE,TRUE
"2","ASV5","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas",2337,TRUE,TRUE,TRUE,TRUE
"3","ASV6","D_0__Bacteria","D_1__Firmicutes","D_2__Negativicutes","D_3__Selenomonadales","D_4__Veillonellaceae","D_5__Megasphaera",2170,TRUE,TRUE,TRUE,TRUE
"4","ASV17","D_0__Bacteria","D_1__Actinobacteria","D_2__Coriobacteriia","D_3__Coriobacteriales","D_4__Atopobiaceae","D_5__Olsenella",2162,TRUE,TRUE,TRUE,TRUE
"5","ASV22","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",2188,TRUE,TRUE,TRUE,TRUE
"6","ASV24","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Prevotella 9",2179,TRUE,TRUE,TRUE,TRUE
"7","ASV31","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Aeromonadales","D_4__Succinivibrionaceae","D_5__Anaerobiospirillum",2298,TRUE,TRUE,TRUE,TRUE
"8","ASV42","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Family XI","D_5__Finegoldia",2163,TRUE,TRUE,TRUE,TRUE
"9","ASV55","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Corynebacteriales","D_4__Corynebacteriaceae","D_5__Lawsonella",2306,TRUE,TRUE,TRUE,TRUE
"10","ASV69","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Xanthobacteraceae","D_5__Bradyrhizobium",2334,TRUE,TRUE,TRUE,TRUE
"11","ASV74","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Sphingobium",2336,TRUE,TRUE,TRUE,TRUE
"12","ASV76","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Moraxellaceae","D_5__Acinetobacter",2310,TRUE,TRUE,TRUE,TRUE
"13","ASV87","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas",2336,TRUE,TRUE,TRUE,TRUE
"14","ASV93","D_0__Bacteria","D_1__Fusobacteria","D_2__Fusobacteriia","D_3__Fusobacteriales","D_4__Fusobacteriaceae","D_5__Fusobacterium",2291,TRUE,TRUE,TRUE,TRUE
"15","ASV109","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Xanthomonadales","D_4__Xanthomonadaceae","D_5__Stenotrophomonas",2336,TRUE,TRUE,TRUE,TRUE
"16","ASV150","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Propionibacteriales","D_4__Propionibacteriaceae","D_5__Cutibacterium",2332,TRUE,TRUE,TRUE,TRUE
"17","ASV154","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas",2336,TRUE,TRUE,TRUE,TRUE
"18","ASV163","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Burkholderiaceae","D_5__Delftia",2336,TRUE,TRUE,TRUE,TRUE
"19","ASV209","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Flavobacteriales","D_4__Flavobacteriaceae","D_5__Capnocytophaga",2157,TRUE,TRUE,TRUE,TRUE
"20","ASV234","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Rhizobiaceae","D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",2259,TRUE,TRUE,TRUE,TRUE
"21","ASV247","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Staphylococcaceae","D_5__Staphylococcus",2325,TRUE,TRUE,TRUE,TRUE
"22","ASV260","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus",2318,TRUE,TRUE,TRUE,TRUE
"23","ASV294","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Sphingomonas",2332,TRUE,TRUE,TRUE,TRUE
"24","ASV299","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Family XI","D_5__Peptoniphilus",2145,TRUE,TRUE,TRUE,TRUE
"25","ASV310","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides",2285,TRUE,TRUE,TRUE,TRUE
"26","ASV319","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast",NA,NA,2172,TRUE,TRUE,TRUE,TRUE
"27","ASV325","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas",2325,TRUE,TRUE,TRUE,TRUE
"28","ASV328","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Caulobacterales","D_4__Caulobacteraceae","D_5__uncultured",2315,TRUE,TRUE,TRUE,TRUE
"29","ASV338","D_0__Bacteria","D_1__Fusobacteria","D_2__Fusobacteriia","D_3__Fusobacteriales","D_4__Fusobacteriaceae","D_5__Fusobacterium",2185,TRUE,TRUE,TRUE,TRUE
"30","ASV360","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Caulobacterales","D_4__Caulobacteraceae","D_5__Brevundimonas",2285,TRUE,TRUE,TRUE,TRUE
"31","ASV365","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Sphingobacteriales","D_4__Sphingobacteriaceae","D_5__Pedobacter",2321,TRUE,TRUE,TRUE,TRUE
"32","ASV457","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Sphingomonadales","D_4__Sphingomonadaceae","D_5__Blastomonas",2307,TRUE,TRUE,TRUE,TRUE
"33","ASV462","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Rhizobiaceae","D_5__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",2289,TRUE,TRUE,TRUE,TRUE
"34","ASV463","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Corynebacteriales","D_4__Corynebacteriaceae","D_5__Corynebacterium 1",2186,TRUE,TRUE,TRUE,TRUE
"35","ASV465","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Flavobacteriales","D_4__Weeksellaceae","D_5__Chryseobacterium",2150,TRUE,TRUE,TRUE,TRUE
"36","ASV469","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Actinomycetales","D_4__Actinomycetaceae","D_5__Actinomyces",2324,TRUE,TRUE,TRUE,TRUE
"37","ASV476","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pasteurellales","D_4__Pasteurellaceae","D_5__Haemophilus",2198,TRUE,TRUE,TRUE,TRUE
"38","ASV478","D_0__Bacteria","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rhizobiales","D_4__Beijerinckiaceae","D_5__Methylobacterium",2176,TRUE,TRUE,TRUE,TRUE
"39","ASV523","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Burkholderiaceae","D_5__Ralstonia",2209,TRUE,TRUE,TRUE,TRUE
"40","ASV528","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Flavobacteriales","D_4__Weeksellaceae","D_5__Chryseobacterium",2163,TRUE,TRUE,TRUE,TRUE
"41","ASV532","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Planococcaceae","D_5__Solibacillus",2155,TRUE,TRUE,TRUE,TRUE
"42","ASV537","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Neisseriaceae","D_5__uncultured",2313,TRUE,TRUE,TRUE,TRUE
"43","ASV542","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Faecalibacterium",2273,TRUE,TRUE,TRUE,TRUE
"44","ASV543","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Micrococcales","D_4__Micrococcaceae","D_5__Rothia",2160,TRUE,TRUE,TRUE,TRUE
"45","ASV547","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Muribaculaceae",NA,2259,TRUE,TRUE,TRUE,TRUE
"46","ASV561","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Bacillaceae","D_5__Bacillus",2186,TRUE,TRUE,TRUE,TRUE
"47","ASV565","D_0__Bacteria","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast",NA,NA,2306,TRUE,TRUE,TRUE,TRUE
"48","ASV574","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Lactococcus",2311,TRUE,TRUE,TRUE,TRUE
"49","ASV575","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Micrococcales","D_4__Microbacteriaceae","D_5__Rhodoluna",2317,TRUE,TRUE,TRUE,TRUE
"50","ASV590","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Bacillaceae","D_5__Bacillus",2315,TRUE,TRUE,TRUE,TRUE
"51","ASV598","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidaceae","D_5__Bacteroides",2325,TRUE,TRUE,TRUE,TRUE
"52","ASV612","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Cytophagales","D_4__Spirosomaceae","D_5__Pseudarcicella",2292,TRUE,TRUE,TRUE,TRUE
"53","ASV626","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Micrococcales","D_4__Microbacteriaceae","D_5__Microbacterium",2299,TRUE,TRUE,TRUE,TRUE
"54","ASV642","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Bacillaceae","D_5__Bacillus",2157,TRUE,TRUE,TRUE,TRUE
"55","ASV691","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Clostridiaceae 1","D_5__Candidatus Arthromitus",2306,TRUE,TRUE,TRUE,TRUE
"56","ASV709","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Moraxellaceae","D_5__Enhydrobacter",2146,TRUE,TRUE,TRUE,TRUE
"57","ASV717","D_0__Bacteria","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Listeriaceae","D_5__Brochothrix",2274,TRUE,TRUE,TRUE,TRUE
"58","ASV751","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Alteromonadales","D_4__Moritellaceae","D_5__Moritella",2166,TRUE,TRUE,TRUE,TRUE
"59","ASV834","D_0__Bacteria","D_1__Fusobacteria","D_2__Fusobacteriia","D_3__Fusobacteriales","D_4__Fusobacteriaceae","D_5__Fusobacterium",2275,TRUE,TRUE,TRUE,TRUE
"60","ASV836","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Corynebacteriales","D_4__Corynebacteriaceae","D_5__Corynebacterium 1",2158,TRUE,TRUE,TRUE,TRUE
"61","ASV870","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Prevotellaceae","D_5__Prevotellaceae Ga6A1 group",2292,TRUE,TRUE,TRUE,TRUE
"62","ASV939","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Vibrionales","D_4__Vibrionaceae","D_5__Vibrio",2270,TRUE,TRUE,TRUE,TRUE
"63","ASV940","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Betaproteobacteriales","D_4__Hydrogenophilaceae","D_5__Hydrogenophilus",2169,TRUE,TRUE,TRUE,TRUE
"64","ASV991","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Alteromonadales","D_4__Pseudoalteromonadaceae","D_5__Pseudoalteromonas",2163,TRUE,TRUE,TRUE,TRUE
"65","ASV1049","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Frankiales","D_4__Sporichthyaceae","D_5__hgcI clade",2157,TRUE,TRUE,TRUE,TRUE
"66","ASV1077","D_0__Bacteria",NA,NA,NA,NA,NA,2157,TRUE,TRUE,TRUE,TRUE
"67","ASV1121","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Moraxellaceae","D_5__Psychrobacter",2163,TRUE,TRUE,TRUE,TRUE
"68","ASV1182","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Corynebacteriales","D_4__Nocardiaceae","D_5__Rhodococcus",2167,TRUE,TRUE,TRUE,TRUE
"69","ASV1265","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Frankiales","D_4__Cryptosporangiaceae","D_5__Fodinicola",2159,TRUE,TRUE,TRUE,TRUE
"70","ASV1592","D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Erysipelatoclostridium",2145,TRUE,TRUE,TRUE,TRUE
"71","ASV1594","D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Flavobacteriales","D_4__Flavobacteriaceae","D_5__Flavobacterium",2149,TRUE,TRUE,TRUE,TRUE
